cohort_month,acquisition_channel_id,cohort_month_index,cohort_starting_customers,active_retained_customers,retention_rate,period_net_margin,cumulative_net_margin,channel_cac,cumulative_margin_ltv,net_capital_recovery_dollars,cumulative_ltv_to_cac_ratio,payback_status
2024-03-01,creator_network,3,59,1,0.0169,45.07,2294.22,34.43,38.89,262.8499999999999,1.13,Breakeven / Recovered
2024-03-01,creator_network,4,59,1,0.0169,87.36,2381.58,34.43,40.37,350.21000000000004,1.17,Breakeven / Recovered
2024-03-01,creator_network,5,59,1,0.0169,57.58,2439.16,34.43,41.34,407.78999999999996,1.2,Breakeven / Recovered
2024-03-01,creator_network,6,59,1,0.0169,32.44,2471.60,34.43,41.89,440.23,1.22,Breakeven / Recovered
2024-05-01,organic_search,0,37,37,1.0,1950.89,1950.89,0.0,52.73,1950.89,,Organic / Pure Profit
2024-05-01,organic_search,1,37,4,0.1081,247.13,2198.02,0.0,59.41,2198.02,,Organic / Pure Profit
2024-05-01,organic_search,2,37,3,0.0811,154.07,2352.09,0.0,63.57,2352.09,,Organic / Pure Profit
2024-05-01,organic_search,3,37,2,0.0541,74.12,2426.21,0.0,65.57,2426.21,,Organic / Pure Profit
2024-05-01,organic_search,4,37,2,0.0541,129.12,2555.33,0.0,69.06,2555.33,,Organic / Pure Profit
2024-07-01,creator_network,0,75,75,1.0,3079.64,3079.64,29.92,41.06,835.6399999999999,1.37,Breakeven / Recovered
2024-07-01,creator_network,1,75,9,0.12,307.20,3386.84,29.92,45.16,1142.8400000000001,1.51,Breakeven / Recovered
2024-07-01,creator_network,2,75,8,0.1067,307.39,3694.23,29.92,49.26,1450.23,1.65,Breakeven / Recovered
2024-07-01,creator_network,3,75,2,0.0267,70.42,3764.65,29.92,50.2,1520.65,1.68,Breakeven / Recovered
2024-07-01,creator_network,4,75,1,0.0133,27.83,3792.48,29.92,50.57,1548.48,1.69,Breakeven / Recovered
2024-08-01,creator_network,0,67,67,1.0,2155.56,2155.56,32.78,32.17,-40.70000000000027,0.98,Unrecovered Capital
2024-08-01,creator_network,1,67,4,0.0597,100.89,2256.45,32.78,33.68,60.1899999999996,1.03,Breakeven / Recovered
2024-08-01,creator_network,2,67,1,0.0149,43.52,2299.97,32.78,34.33,103.70999999999958,1.05,Breakeven / Recovered
2024-08-01,creator_network,3,67,3,0.0448,87.39,2387.36,32.78,35.63,191.0999999999999,1.09,Breakeven / Recovered
2024-08-01,creator_network,4,67,1,0.0149,40.55,2427.91,32.78,36.24,231.64999999999964,1.11,Breakeven / Recovered
2024-09-01,organic_search,0,45,45,1.0,2331.44,2331.44,0.0,51.81,2331.44,,Organic / Pure Profit
2024-09-01,organic_search,1,45,4,0.0889,276.41,2607.85,0.0,57.95,2607.85,,Organic / Pure Profit
2024-09-01,organic_search,2,45,3,0.0667,179.26,2787.11,0.0,61.94,2787.11,,Organic / Pure Profit
2024-09-01,organic_search,3,45,1,0.0222,62.80,2849.91,0.0,63.33,2849.91,,Organic / Pure Profit
2024-12-01,creator_network,0,85,85,1.0,2583.62,2583.62,31.32,30.4,-78.57999999999993,0.97,Unrecovered Capital
2024-12-01,creator_network,1,85,3,0.0353,100.07,2683.69,31.32,31.57,21.490000000000236,1.01,Breakeven / Recovered
2024-12-01,creator_network,2,85,6,0.0706,190.12,2873.81,31.32,33.81,211.61000000000013,1.08,Breakeven / Recovered
2024-12-01,creator_network,3,85,5,0.0588,171.54,3045.35,31.32,35.83,383.1500000000001,1.14,Breakeven / Recovered
2024-12-01,creator_network,4,85,1,0.0118,15.11,3060.46,31.32,36.01,398.2600000000002,1.15,Breakeven / Recovered
2025-05-01,google_ads,0,135,135,1.0,7773.60,7773.60,44.38,57.58,1782.3000000000002,1.3,Breakeven / Recovered
2025-05-01,google_ads,1,135,12,0.0889,551.20,8324.80,44.38,61.67,2333.499999999999,1.39,Breakeven / Recovered
2025-05-01,google_ads,2,135,6,0.0444,414.94,8739.74,44.38,64.74,2748.4399999999996,1.46,Breakeven / Recovered
2025-05-01,google_ads,3,135,4,0.0296,213.03,8952.77,44.38,66.32,2961.4700000000003,1.49,Breakeven / Recovered
2025-05-01,google_ads,4,135,1,0.0074,12.30,8965.07,44.38,66.41,2973.7699999999995,1.5,Breakeven / Recovered
2025-05-01,google_ads,6,135,1,0.0074,49.80,9014.87,44.38,66.78,3023.5700000000006,1.5,Breakeven / Recovered
2025-05-01,google_ads,7,135,2,0.0148,14.98,9029.85,44.38,66.89,3038.55,1.51,Breakeven / Recovered
2025-05-01,meta_ads,0,225,225,1.0,9323.17,9323.17,35.35,41.44,1369.42,1.17,Breakeven / Recovered
2025-05-01,meta_ads,1,225,24,0.1067,820.12,10143.29,35.35,45.08,2189.540000000001,1.28,Breakeven / Recovered
2025-05-01,meta_ads,2,225,9,0.04,466.28,10609.57,35.35,47.15,2655.8199999999997,1.33,Breakeven / Recovered
2025-05-01,meta_ads,3,225,4,0.0178,117.51,10727.08,35.35,47.68,2773.33,1.35,Breakeven / Recovered
2025-05-01,meta_ads,4,225,4,0.0178,161.17,10888.25,35.35,48.39,2934.5,1.37,Breakeven / Recovered
2025-05-01,meta_ads,6,225,1,0.0044,100.40,10988.65,35.35,48.84,3034.8999999999996,1.38,Breakeven / Recovered
2025-07-01,organic_search,0,74,74,1.0,3734.90,3734.90,0.0,50.47,3734.9,,Organic / Pure Profit
2025-07-01,organic_search,1,74,2,0.027,116.29,3851.19,0.0,52.04,3851.19,,Organic / Pure Profit
2025-07-01,organic_search,2,74,4,0.0541,238.81,4090.00,0.0,55.27,4090.0,,Organic / Pure Profit
2025-07-01,organic_search,3,74,2,0.027,55.51,4145.51,0.0,56.02,4145.51,,Organic / Pure Profit
2025-09-01,creator_network,0,103,103,1.0,3147.07,3147.07,34.35,30.55,-390.98,0.89,Unrecovered Capital
2025-09-01,creator_network,1,103,9,0.0874,261.83,3408.90,34.35,33.1,-129.1500000000001,0.96,Unrecovered Capital
2025-09-01,creator_network,2,103,5,0.0485,178.74,3587.64,34.35,34.83,49.58999999999969,1.01,Breakeven / Recovered
2025-09-01,creator_network,3,103,4,0.0388,116.83,3704.47,34.35,35.97,166.41999999999962,1.05,Breakeven / Recovered
2025-11-01,creator_network,0,102,102,1.0,3226.07,3226.07,31.79,31.63,-16.509999999999764,0.99,Unrecovered Capital
2025-11-01,creator_network,1,102,11,0.1078,160.17,3386.24,31.79,33.2,143.65999999999985,1.04,Breakeven / Recovered
2024-01-01,creator_network,0,73,73,1.0,2555.24,2555.24,32.66,35.0,171.05999999999995,1.07,Breakeven / Recovered
2024-01-01,creator_network,1,73,4,0.0548,216.62,2771.86,32.66,37.97,387.6800000000003,1.16,Breakeven / Recovered
2024-01-01,creator_network,2,73,4,0.0548,107.71,2879.57,32.66,39.45,495.3900000000003,1.21,Breakeven / Recovered
2024-01-01,creator_network,3,73,2,0.0274,33.72,2913.29,32.66,39.91,529.1100000000001,1.22,Breakeven / Recovered
2024-01-01,creator_network,4,73,3,0.0411,135.40,3048.69,32.66,41.76,664.5100000000002,1.28,Breakeven / Recovered
2024-04-01,organic_search,0,47,47,1.0,2133.22,2133.22,0.0,45.39,2133.22,,Organic / Pure Profit
2024-04-01,organic_search,1,47,12,0.2553,572.67,2705.89,0.0,57.57,2705.89,,Organic / Pure Profit
2024-04-01,organic_search,2,47,3,0.0638,212.90,2918.79,0.0,62.1,2918.79,,Organic / Pure Profit
2024-04-01,organic_search,3,47,1,0.0213,62.22,2981.01,0.0,63.43,2981.01,,Organic / Pure Profit
2024-04-01,organic_search,5,47,2,0.0426,106.47,3087.48,0.0,65.69,3087.48,,Organic / Pure Profit
2024-11-01,organic_search,0,72,72,1.0,3403.84,3403.84,0.0,47.28,3403.84,,Organic / Pure Profit
2024-11-01,organic_search,1,72,6,0.0833,328.12,3731.96,0.0,51.83,3731.96,,Organic / Pure Profit
2024-11-01,organic_search,2,72,3,0.0417,202.59,3934.55,0.0,54.65,3934.55,,Organic / Pure Profit
2024-11-01,organic_search,3,72,2,0.0278,149.28,4083.83,0.0,56.72,4083.83,,Organic / Pure Profit
2024-11-01,organic_search,4,72,1,0.0139,80.51,4164.34,0.0,57.84,4164.34,,Organic / Pure Profit
2024-11-01,organic_search,5,72,1,0.0139,-44.96,4119.38,0.0,57.21,4119.38,,Organic / Pure Profit
2025-01-01,direct,0,48,48,1.0,2143.22,2143.22,0.0,44.65,2143.22,,Organic / Pure Profit
2025-01-01,direct,1,48,3,0.0625,225.50,2368.72,0.0,49.35,2368.72,,Organic / Pure Profit
2025-01-01,direct,2,48,2,0.0417,155.29,2524.01,0.0,52.58,2524.01,,Organic / Pure Profit
2025-01-01,direct,4,48,1,0.0208,33.50,2557.51,0.0,53.28,2557.51,,Organic / Pure Profit
2025-01-01,direct,6,48,1,0.0208,63.38,2620.89,0.0,54.6,2620.89,,Organic / Pure Profit
2025-08-01,direct,0,53,53,1.0,2225.80,2225.80,0.0,42.0,2225.8,,Organic / Pure Profit
2025-08-01,direct,1,53,3,0.0566,281.64,2507.44,0.0,47.31,2507.44,,Organic / Pure Profit
2025-08-01,direct,2,53,3,0.0566,249.56,2757.00,0.0,52.02,2757.0,,Organic / Pure Profit
2025-12-01,google_ads,0,168,168,1.0,9330.67,9330.67,47.64,55.54,1327.1499999999996,1.17,Breakeven / Recovered
2025-12-01,meta_ads,0,245,245,1.0,9721.53,9721.53,42.65,39.68,-727.7199999999993,0.93,Unrecovered Capital
2024-10-01,google_ads,0,125,125,1.0,7311.82,7311.82,46.66,58.49,1479.3199999999997,1.25,Breakeven / Recovered
2024-10-01,google_ads,1,125,11,0.088,690.31,8002.13,46.66,64.02,2169.63,1.37,Breakeven / Recovered
2024-10-01,google_ads,2,125,13,0.104,700.55,8702.68,46.66,69.62,2870.1800000000003,1.49,Breakeven / Recovered
2024-10-01,google_ads,3,125,1,0.008,52.21,8754.89,46.66,70.04,2922.3899999999994,1.5,Breakeven / Recovered
2024-10-01,google_ads,4,125,1,0.008,38.15,8793.04,46.66,70.34,2960.540000000001,1.51,Breakeven / Recovered
2024-10-01,meta_ads,0,192,192,1.0,8618.71,8618.71,36.51,44.89,1608.789999999999,1.23,Breakeven / Recovered
2024-10-01,meta_ads,1,192,11,0.0573,634.06,9252.77,36.51,48.19,2242.8500000000004,1.32,Breakeven / Recovered
2024-10-01,meta_ads,2,192,11,0.0573,587.39,9840.16,36.51,51.25,2830.24,1.4,Breakeven / Recovered
2024-10-01,meta_ads,3,192,5,0.026,247.85,10088.01,36.51,52.54,3078.09,1.44,Breakeven / Recovered
2024-10-01,meta_ads,4,192,1,0.0052,55.08,10143.09,36.51,52.83,3133.17,1.45,Breakeven / Recovered
2025-02-01,google_ads,0,143,143,1.0,8128.82,8128.82,45.01,56.84,1692.3899999999994,1.26,Breakeven / Recovered
2025-02-01,google_ads,1,143,13,0.0909,310.70,8439.52,45.01,59.02,2003.0900000000001,1.31,Breakeven / Recovered
2025-02-01,google_ads,2,143,7,0.049,416.12,8855.64,45.01,61.93,2419.209999999999,1.38,Breakeven / Recovered
2025-02-01,google_ads,3,143,1,0.007,53.76,8909.40,45.01,62.3,2472.9699999999993,1.38,Breakeven / Recovered
2025-02-01,google_ads,4,143,1,0.007,108.73,9018.13,45.01,63.06,2581.699999999999,1.4,Breakeven / Recovered
2025-02-01,google_ads,5,143,1,0.007,45.29,9063.42,45.01,63.38,2626.99,1.41,Breakeven / Recovered
2025-02-01,meta_ads,0,192,192,1.0,7797.04,7797.04,40.81,40.61,-38.48000000000047,1.0,Unrecovered Capital
2025-02-01,meta_ads,1,192,21,0.1094,634.97,8432.01,40.81,43.92,596.4899999999998,1.08,Breakeven / Recovered
2025-02-01,meta_ads,2,192,11,0.0573,481.89,8913.90,40.81,46.43,1078.3799999999992,1.14,Breakeven / Recovered
2025-02-01,meta_ads,3,192,4,0.0208,109.54,9023.44,40.81,47.0,1187.92,1.15,Breakeven / Recovered
2025-02-01,meta_ads,4,192,2,0.0104,43.75,9067.19,40.81,47.22,1231.67,1.16,Breakeven / Recovered
2025-02-01,meta_ads,5,192,2,0.0104,4.16,9071.35,40.81,47.25,1235.83,1.16,Breakeven / Recovered
2025-10-01,creator_network,0,107,107,1.0,3834.53,3834.53,32.8,35.84,324.9300000000003,1.09,Breakeven / Recovered
2025-10-01,creator_network,1,107,12,0.1121,407.74,4242.27,32.8,39.65,732.6700000000005,1.21,Breakeven / Recovered
2025-10-01,creator_network,2,107,6,0.0561,145.91,4388.18,32.8,41.01,878.5800000000004,1.25,Breakeven / Recovered
2024-02-01,creator_network,0,61,61,1.0,2348.43,2348.43,33.5,38.5,304.92999999999984,1.15,Breakeven / Recovered
2024-02-01,creator_network,1,61,4,0.0656,62.04,2410.47,33.5,39.52,366.9699999999998,1.18,Breakeven / Recovered
2024-02-01,creator_network,2,61,3,0.0492,128.63,2539.10,33.5,41.62,495.5999999999999,1.24,Breakeven / Recovered
2024-02-01,creator_network,3,61,1,0.0164,52.56,2591.66,33.5,42.49,548.1599999999999,1.27,Breakeven / Recovered
2024-04-01,direct,0,36,36,1.0,2021.22,2021.22,0.0,56.15,2021.22,,Organic / Pure Profit
2024-04-01,direct,1,36,4,0.1111,284.37,2305.59,0.0,64.04,2305.59,,Organic / Pure Profit
2024-04-01,direct,2,36,1,0.0278,-55.99,2249.60,0.0,62.49,2249.6,,Organic / Pure Profit
2024-04-01,direct,4,36,1,0.0278,24.23,2273.83,0.0,63.16,2273.83,,Organic / Pure Profit
2024-11-01,direct,0,42,42,1.0,2461.02,2461.02,0.0,58.6,2461.02,,Organic / Pure Profit
2024-11-01,direct,1,42,1,0.0238,50.70,2511.72,0.0,59.8,2511.72,,Organic / Pure Profit
2024-11-01,direct,2,42,2,0.0476,24.80,2536.52,0.0,60.39,2536.52,,Organic / Pure Profit
2024-11-01,direct,3,42,2,0.0476,77.94,2614.46,0.0,62.25,2614.46,,Organic / Pure Profit
2024-11-01,direct,4,42,1,0.0238,135.74,2750.20,0.0,65.48,2750.2,,Organic / Pure Profit
2025-01-01,organic_search,0,65,65,1.0,3985.31,3985.31,0.0,61.31,3985.31,,Organic / Pure Profit
2025-01-01,organic_search,1,65,8,0.1231,471.38,4456.69,0.0,68.56,4456.69,,Organic / Pure Profit
2025-01-01,organic_search,2,65,3,0.0462,195.76,4652.45,0.0,71.58,4652.45,,Organic / Pure Profit
2025-01-01,organic_search,3,65,2,0.0308,133.17,4785.62,0.0,73.62,4785.62,,Organic / Pure Profit
2025-01-01,organic_search,4,65,2,0.0308,151.93,4937.55,0.0,75.96,4937.55,,Organic / Pure Profit
2025-03-01,google_ads,0,162,162,1.0,8698.67,8698.67,46.32,53.7,1194.83,1.16,Breakeven / Recovered
2025-03-01,google_ads,1,162,9,0.0556,573.75,9272.42,46.32,57.24,1768.58,1.24,Breakeven / Recovered
2025-03-01,google_ads,2,162,8,0.0494,443.15,9715.57,46.32,59.97,2211.7299999999996,1.29,Breakeven / Recovered
2025-03-01,google_ads,3,162,2,0.0123,96.05,9811.62,46.32,60.57,2307.7800000000007,1.31,Breakeven / Recovered
2025-03-01,google_ads,5,162,1,0.0062,47.43,9859.05,46.32,60.86,2355.209999999999,1.31,Breakeven / Recovered
2025-03-01,google_ads,6,162,1,0.0062,53.64,9912.69,46.32,61.19,2408.8500000000004,1.32,Breakeven / Recovered
2025-03-01,google_ads,7,162,2,0.0123,133.07,10045.76,46.32,62.01,2541.92,1.34,Breakeven / Recovered
2025-03-01,meta_ads,0,191,191,1.0,8080.42,8080.42,38.46,42.31,734.5600000000004,1.1,Breakeven / Recovered
2025-03-01,meta_ads,1,191,16,0.0838,735.02,8815.44,38.46,46.15,1469.5800000000008,1.2,Breakeven / Recovered
2025-03-01,meta_ads,2,191,12,0.0628,505.67,9321.11,38.46,48.8,1975.250000000001,1.27,Breakeven / Recovered
2025-03-01,meta_ads,3,191,5,0.0262,135.69,9456.80,38.46,49.51,2110.9399999999996,1.29,Breakeven / Recovered
2025-03-01,meta_ads,4,191,2,0.0105,95.44,9552.24,38.46,50.01,2206.38,1.3,Breakeven / Recovered
2025-03-01,meta_ads,5,191,1,0.0052,76.08,9628.32,38.46,50.41,2282.46,1.31,Breakeven / Recovered
2025-06-01,google_ads,0,168,168,1.0,9968.95,9968.95,48.11,59.34,1886.4700000000012,1.23,Breakeven / Recovered
2025-06-01,google_ads,1,168,11,0.0655,761.80,10730.75,48.11,63.87,2648.2700000000004,1.33,Breakeven / Recovered
2025-06-01,google_ads,2,168,5,0.0298,429.68,11160.43,48.11,66.43,3077.9500000000007,1.38,Breakeven / Recovered
2025-06-01,google_ads,3,168,4,0.0238,202.23,11362.66,48.11,67.63,3280.1800000000003,1.41,Breakeven / Recovered
2025-06-01,google_ads,4,168,2,0.0119,118.63,11481.29,48.11,68.34,3398.8100000000013,1.42,Breakeven / Recovered
2025-06-01,google_ads,5,168,1,0.006,50.23,11531.52,48.11,68.64,3449.040000000001,1.43,Breakeven / Recovered
2025-06-01,meta_ads,0,221,221,1.0,9857.58,9857.58,37.59,44.6,1550.1900000000005,1.19,Breakeven / Recovered
2025-06-01,meta_ads,1,221,14,0.0633,707.65,10565.23,37.59,47.81,2257.84,1.27,Breakeven / Recovered
2025-06-01,meta_ads,2,221,13,0.0588,576.98,11142.21,37.59,50.42,2834.8199999999997,1.34,Breakeven / Recovered
2025-06-01,meta_ads,3,221,7,0.0317,325.20,11467.41,37.59,51.89,3160.0200000000004,1.38,Breakeven / Recovered
2025-06-01,meta_ads,4,221,1,0.0045,45.57,11512.98,37.59,52.09,3205.59,1.39,Breakeven / Recovered
2025-06-01,meta_ads,5,221,3,0.0136,128.19,11641.17,37.59,52.67,3333.7800000000007,1.4,Breakeven / Recovered
2025-08-01,organic_search,0,71,71,1.0,3736.15,3736.15,0.0,52.62,3736.15,,Organic / Pure Profit
2025-08-01,organic_search,1,71,4,0.0563,151.68,3887.83,0.0,54.76,3887.83,,Organic / Pure Profit
2025-08-01,organic_search,2,71,3,0.0423,79.70,3967.53,0.0,55.88,3967.53,,Organic / Pure Profit
2025-08-01,organic_search,3,71,2,0.0282,137.80,4105.33,0.0,57.82,4105.33,,Organic / Pure Profit
2024-03-01,direct,0,35,35,1.0,1901.13,1901.13,0.0,54.32,1901.13,,Organic / Pure Profit
2024-03-01,direct,1,35,3,0.0857,233.90,2135.03,0.0,61.0,2135.03,,Organic / Pure Profit
2024-03-01,direct,2,35,2,0.0571,119.08,2254.11,0.0,64.4,2254.11,,Organic / Pure Profit
2024-07-01,direct,0,36,36,1.0,2148.42,2148.42,0.0,59.68,2148.42,,Organic / Pure Profit
2024-07-01,direct,1,36,2,0.0556,163.58,2312.00,0.0,64.22,2312.0,,Organic / Pure Profit
2024-07-01,direct,2,36,1,0.0278,78.51,2390.51,0.0,66.4,2390.51,,Organic / Pure Profit
2024-07-01,direct,3,36,1,0.0278,48.89,2439.40,0.0,67.76,2439.4,,Organic / Pure Profit
2024-07-01,direct,4,36,1,0.0278,57.50,2496.90,0.0,69.36,2496.9,,Organic / Pure Profit
2024-07-01,direct,5,36,1,0.0278,44.81,2541.71,0.0,70.6,2541.71,,Organic / Pure Profit
2024-08-01,direct,0,40,40,1.0,2318.13,2318.13,0.0,57.95,2318.13,,Organic / Pure Profit
2024-08-01,direct,1,40,3,0.075,176.01,2494.14,0.0,62.35,2494.14,,Organic / Pure Profit
2024-08-01,direct,2,40,1,0.025,47.81,2541.95,0.0,63.55,2541.95,,Organic / Pure Profit
2024-08-01,direct,3,40,2,0.05,122.23,2664.18,0.0,66.6,2664.18,,Organic / Pure Profit
2024-10-01,organic_search,0,66,66,1.0,3239.97,3239.97,0.0,49.09,3239.97,,Organic / Pure Profit
2024-10-01,organic_search,1,66,5,0.0758,311.97,3551.94,0.0,53.82,3551.94,,Organic / Pure Profit
2024-10-01,organic_search,2,66,5,0.0758,238.63,3790.57,0.0,57.43,3790.57,,Organic / Pure Profit
2024-10-01,organic_search,3,66,3,0.0455,174.42,3964.99,0.0,60.08,3964.99,,Organic / Pure Profit
2024-10-01,organic_search,4,66,1,0.0152,53.61,4018.60,0.0,60.89,4018.6,,Organic / Pure Profit
2024-12-01,direct,0,49,49,1.0,2771.86,2771.86,0.0,56.57,2771.86,,Organic / Pure Profit
2024-12-01,direct,1,49,2,0.0408,138.60,2910.46,0.0,59.4,2910.46,,Organic / Pure Profit
2024-12-01,direct,2,49,5,0.102,192.35,3102.81,0.0,63.32,3102.81,,Organic / Pure Profit
2024-12-01,direct,3,49,1,0.0204,64.77,3167.58,0.0,64.64,3167.58,,Organic / Pure Profit
2025-02-01,organic_search,0,63,63,1.0,2845.88,2845.88,0.0,45.17,2845.88,,Organic / Pure Profit
2025-02-01,organic_search,1,63,3,0.0476,196.71,3042.59,0.0,48.3,3042.59,,Organic / Pure Profit
2025-02-01,organic_search,2,63,1,0.0159,55.56,3098.15,0.0,49.18,3098.15,,Organic / Pure Profit
2025-02-01,organic_search,3,63,1,0.0159,70.04,3168.19,0.0,50.29,3168.19,,Organic / Pure Profit
2025-09-01,direct,0,55,55,1.0,3243.19,3243.19,0.0,58.97,3243.19,,Organic / Pure Profit
2025-09-01,direct,1,55,4,0.0727,136.18,3379.37,0.0,61.44,3379.37,,Organic / Pure Profit
2025-09-01,direct,2,55,1,0.0182,62.98,3442.35,0.0,62.59,3442.35,,Organic / Pure Profit
2025-09-01,direct,3,55,2,0.0364,122.03,3564.38,0.0,64.81,3564.38,,Organic / Pure Profit
2025-11-01,direct,0,56,56,1.0,3015.98,3015.98,0.0,53.86,3015.98,,Organic / Pure Profit
2025-11-01,direct,1,56,3,0.0536,169.61,3185.59,0.0,56.89,3185.59,,Organic / Pure Profit
2025-01-01,google_ads,0,146,146,1.0,8214.22,8214.22,44.55,56.26,1709.9199999999992,1.26,Breakeven / Recovered
2025-01-01,google_ads,1,146,12,0.0822,758.20,8972.42,44.55,61.45,2468.12,1.38,Breakeven / Recovered
2025-01-01,google_ads,2,146,8,0.0548,387.15,9359.57,44.55,64.11,2855.2699999999995,1.44,Breakeven / Recovered
2025-01-01,google_ads,3,146,5,0.0342,396.28,9755.85,44.55,66.82,3251.55,1.5,Breakeven / Recovered
2025-01-01,meta_ads,0,201,201,1.0,8901.10,8901.10,36.17,44.28,1630.9300000000003,1.22,Breakeven / Recovered
2025-01-01,meta_ads,1,201,9,0.0448,393.42,9294.52,36.17,46.24,2024.3500000000004,1.28,Breakeven / Recovered
2025-01-01,meta_ads,2,201,11,0.0547,623.56,9918.08,36.17,49.34,2647.91,1.36,Breakeven / Recovered
2025-01-01,meta_ads,3,201,4,0.0199,36.16,9954.24,36.17,49.52,2684.0699999999997,1.37,Breakeven / Recovered
2025-01-01,meta_ads,4,201,3,0.0149,136.43,10090.67,36.17,50.2,2820.5,1.39,Breakeven / Recovered
2025-01-01,meta_ads,5,201,3,0.0149,143.90,10234.57,36.17,50.92,2964.3999999999996,1.41,Breakeven / Recovered
2025-01-01,meta_ads,6,201,1,0.005,31.67,10266.24,36.17,51.08,2996.0699999999997,1.41,Breakeven / Recovered
2025-01-01,meta_ads,7,201,1,0.005,61.63,10327.87,36.17,51.38,3057.7000000000007,1.42,Breakeven / Recovered
2025-03-01,organic_search,0,61,61,1.0,3201.81,3201.81,0.0,52.49,3201.81,,Organic / Pure Profit
2025-03-01,organic_search,1,61,6,0.0984,348.72,3550.53,0.0,58.21,3550.53,,Organic / Pure Profit
2025-03-01,organic_search,2,61,6,0.0984,339.17,3889.70,0.0,63.77,3889.7,,Organic / Pure Profit
2025-03-01,organic_search,3,61,1,0.0164,38.59,3928.29,0.0,64.4,3928.29,,Organic / Pure Profit
2025-06-01,organic_search,0,82,82,1.0,4508.65,4508.65,0.0,54.98,4508.65,,Organic / Pure Profit
2025-06-01,organic_search,1,82,8,0.0976,401.40,4910.05,0.0,59.88,4910.05,,Organic / Pure Profit
2025-06-01,organic_search,2,82,5,0.061,243.62,5153.67,0.0,62.85,5153.67,,Organic / Pure Profit
2025-06-01,organic_search,3,82,2,0.0244,108.93,5262.60,0.0,64.18,5262.6,,Organic / Pure Profit
2025-06-01,organic_search,5,82,2,0.0244,124.80,5387.40,0.0,65.7,5387.4,,Organic / Pure Profit
2025-06-01,organic_search,6,82,1,0.0122,55.36,5442.76,0.0,66.38,5442.76,,Organic / Pure Profit
2025-08-01,google_ads,0,167,167,1.0,9466.15,9466.15,47.49,56.68,1535.3199999999997,1.19,Breakeven / Recovered
2025-08-01,google_ads,1,167,16,0.0958,927.34,10393.49,47.49,62.24,2462.66,1.31,Breakeven / Recovered
2025-08-01,google_ads,2,167,8,0.0479,438.66,10832.15,47.49,64.86,2901.3199999999997,1.37,Breakeven / Recovered
2025-08-01,google_ads,3,167,8,0.0479,390.32,11222.47,47.49,67.2,3291.6399999999994,1.42,Breakeven / Recovered
2025-08-01,google_ads,4,167,2,0.012,169.20,11391.67,47.49,68.21,3460.84,1.44,Breakeven / Recovered
2025-08-01,meta_ads,0,213,213,1.0,10386.67,10386.67,35.17,48.76,2895.46,1.39,Breakeven / Recovered
2025-08-01,meta_ads,1,213,13,0.061,514.33,10901.00,35.17,51.18,3409.79,1.46,Breakeven / Recovered
2025-08-01,meta_ads,2,213,13,0.061,678.03,11579.03,35.17,54.36,4087.8200000000006,1.55,Breakeven / Recovered
2025-08-01,meta_ads,3,213,4,0.0188,241.81,11820.84,35.17,55.5,4329.63,1.58,Breakeven / Recovered
2025-08-01,meta_ads,4,213,2,0.0094,86.34,11907.18,35.17,55.9,4415.97,1.59,Breakeven / Recovered
2025-12-01,direct,0,62,62,1.0,3368.15,3368.15,0.0,54.33,3368.15,,Organic / Pure Profit
2025-05-01,direct,0,50,50,1.0,2752.70,2752.70,0.0,55.05,2752.7,,Organic / Pure Profit
2025-05-01,direct,1,50,1,0.02,51.46,2804.16,0.0,56.08,2804.16,,Organic / Pure Profit
2025-05-01,direct,2,50,1,0.02,82.58,2886.74,0.0,57.73,2886.74,,Organic / Pure Profit
2025-05-01,direct,3,50,3,0.06,291.29,3178.03,0.0,63.56,3178.03,,Organic / Pure Profit
2025-05-01,direct,5,50,1,0.02,65.59,3243.62,0.0,64.87,3243.62,,Organic / Pure Profit
2025-10-01,organic_search,0,76,76,1.0,3784.20,3784.20,0.0,49.79,3784.2,,Organic / Pure Profit
2025-10-01,organic_search,1,76,5,0.0658,309.80,4094.00,0.0,53.87,4094.0,,Organic / Pure Profit
2025-10-01,organic_search,2,76,3,0.0395,212.38,4306.38,0.0,56.66,4306.38,,Organic / Pure Profit
2024-01-01,google_ads,0,84,84,1.0,4906.00,4906.00,46.29,58.4,1017.6399999999999,1.26,Breakeven / Recovered
2024-01-01,google_ads,1,84,4,0.0476,233.84,5139.84,46.29,61.19,1251.48,1.32,Breakeven / Recovered
2024-01-01,google_ads,2,84,2,0.0238,141.05,5280.89,46.29,62.87,1392.5300000000002,1.36,Breakeven / Recovered
2024-01-01,google_ads,3,84,4,0.0476,217.89,5498.78,46.29,65.46,1610.4199999999996,1.41,Breakeven / Recovered
2024-01-01,google_ads,4,84,1,0.0119,-35.22,5463.56,46.29,65.04,1575.2000000000003,1.41,Breakeven / Recovered
2024-01-01,google_ads,5,84,1,0.0119,87.04,5550.60,46.29,66.08,1662.2400000000002,1.43,Breakeven / Recovered
2024-01-01,meta_ads,0,128,128,1.0,5201.18,5201.18,37.67,40.63,379.4200000000001,1.08,Breakeven / Recovered
2024-01-01,meta_ads,1,128,6,0.0469,181.40,5382.58,37.67,42.05,560.8199999999997,1.12,Breakeven / Recovered
2024-01-01,meta_ads,2,128,9,0.0703,420.44,5803.02,37.67,45.34,981.2600000000002,1.2,Breakeven / Recovered
2024-01-01,meta_ads,3,128,3,0.0234,178.66,5981.68,37.67,46.73,1159.92,1.24,Breakeven / Recovered
